"","id","fire_name","fire_year","spsm_dc","spsm_ffmc","spsm_dmc","spsm_isi","spsm_bui","spsm_fwi","area_ha","area_m2","prov","defoliated","tsd","cumltve_yrs","rbr_cv","rbr_extreme","rbr_median","slope10","slope1","slope2","pre_fire_temp","pre_fire_precip","post_fire_temp","post_fire_precip"
"51",30,"COC38_1995_629",1995,291.532032844585,84.8095945173343,5.20884120855911,2.50404998294443,8.84990980629899,5.17913844607927,965.3289,9653288.8439,"ON",1,14,2,1.34088020606206,198.091534506448,49.9811720626904,1.96838432135925,15.1155927791929,-4.51584081898168,11.12,5880.0911,11.39,5880.0911
"52",42,"COC38_1995_629",1995,291.532032844585,84.8095945173343,5.20884120855911,2.50404998294443,8.84990980629899,5.17913844607927,78.6545,786545.1961,"ON",0,0,0,1.51902424031977,382.109616463644,46.0584437036665,4.33925625662589,19.3370846280618,-5.75397899677144,11.04,5905.2988,11.31,5905.2988
"53",31,"SLK11_2007_1658",2007,301.144836245171,83.6333971897528,2.31692396848347,2.18121770061895,4.11012137377896,2.06923217772556,884.6147,8846147.075,"ON",1,14,2,0.654834938693207,374.051801744194,185.951422576759,7.12494833504164,11.0691780896157,10.6386390207885,11.97,5892.0128,11.68,5892.0128
"54",62,"SLK11_2007_1658",2007,301.144836245171,83.6333971897528,2.31692396848347,2.18121770061895,4.11012137377896,2.06923217772556,3455.2853,34552852.7103,"ON",0,0,0,0.958606313053433,339.943033587609,91.9120618900047,5.06993490177803,6.1148914258768,8.9474054931348,11.92,5910.3291,11.61,5910.3291
"55",32,"SAU4_1998_335",1998,326.371652870976,83.3612166502135,4.07889135622928,1.96227394134576,6.52744584317496,3.35360378882872,1.7402,17401.8307,"ON",1,15,1,-3.4959799477029,129.764907836914,-61.3420867919922,-8.22507338762044,-19.1775114440247,-13.7615387285762,13.38,6676.3505,14.22,6676.3505
"56",52,"SAU4_1998_335",1998,326.371652870976,83.3612166502135,4.07889135622928,1.96227394134576,6.52744584317496,3.35360378882872,11.1675,111674.5166,"ON",0,0,0,0.644488694930559,324.334911246574,170.273510581569,-2.49571756114996,-12.6692593266459,-7.37444924309608,13.38,6676.3505,14.22,6676.3505
"57",33,"SLK1_2012_1847",2012,305.028247255236,84.3280789755779,3.90239664041629,2.3274217412786,6.94792713849693,3.86254500760908,4e-04,4.135,"ON",1,15,1,0.497045686711264,186.642562866211,125.676902077415,-2.68364061175333,-1.51555978959937,-5.67542689591815,12.42,7021.9565,12.49,7021.9565
"58",66,"SLK1_2012_1847",2012,305.028247255236,84.3280789755779,3.90239664041629,2.3274217412786,6.94792713849693,3.86254500760908,1906.0579,19060578.9571,"ON",0,0,0,0.775435813475592,274.029034885533,97.9302926513237,-0.0347911824101455,5.57822887646013,-3.70921095200285,12.42,7021.9565,12.49,7021.9565
"59",104,"QC_319_1986",1986,222.452552761659,81.5921172054933,1.16691443699554,3.4350791224774,2.04403434198711,0.8403063037423,3.33547863585353,33354.7863585353,"QC",0,0,0,0.148817401158664,567.233385490649,519.521148681641,1.13616835020867,9.88097296616663,-9.87807098225684,6.66,4819.4287,7.11,4819.4287
"60",67,"QC_319_1986",1986,222.452552761659,81.5921172054933,1.16691443699554,3.4350791224774,2.04403434198711,0.8403063037423,10.594614443342,105946.14443342,"QC",1,9,1,0.421532872463112,566.022936139788,418.131109328497,-2.51576044249757,-4.2822509337557,-14.5498342975756,6.66,4819.4287,7.11,4819.4287
"61",105,"QC_33_1986",1986,260.275749553658,83.3392980256771,2.43025917994625,2.04263897594067,4.39280336222732,2.24060050572361,3903.1290231138,39031290.231138,"QC",0,0,0,1.15203572449739,443.978952661616,75.9245817690486,-2.91983270505369,4.23861585396092,-13.8354217398364,9.51,1912.0587,10.16,1912.0587
"62",68,"QC_33_1986",1986,260.275749553658,83.3392980256771,2.43025917994625,2.04263897594067,4.39280336222732,2.24060050572361,76195.147074265,761951470.74265,"QC",1,4,9,1.15637604896833,443.977212838962,75.9218985007718,-2.88521694892551,4.5218401746626,-13.6685547549619,9.57,1920.8797,10.21,1920.8797
"63",106,"QC_50_1986",1986,241.922840635073,82.7782057134664,1.66898812023646,1.94419122384236,2.98265068777904,1.35893511709274,417.44598569088,4174459.8569088,"QC",0,0,0,1.15109095238578,429.950782867799,58.0254494582742,-2.23900020858561,20.1770430674724,-12.396229583267,8.14,5264.7863,8.67,5264.7863
"64",69,"QC_50_1986",1986,241.922840635073,82.7782057134664,1.66898812023646,1.94419122384236,2.98265068777904,1.35893511709274,3.5207800667822,35207.800667822,"QC",1,10,2,0.962493618233836,437.957724938026,89.6695167797628,-1.65191054116043,22.6464249809776,-13.5821975779339,8.14,5264.7863,8.67,5264.7863
